Country or region,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population,Median agein years,Life expectancyin years,GDP,Population under 20 years old in %
Finland,1,7.809,1.285,1.5,0.961,0.662,0.16,0.478,5540720.0,42.3,81.9,7119825.199999999,21.4
Denmark,2,7.646,1.327,1.5030000000000001,0.9790000000000001,0.665,0.243,0.495,5792202.0,41.1,81.3,7686252.054,22.3
Switzerland,3,7.56,1.391,1.472,1.041,0.629,0.26899999999999996,0.408,8654622.0,42.0,83.8,12038579.202,19.9
Iceland,4,7.504,1.327,1.548,1.001,0.662,0.36200000000000004,0.145,341243.0,,,452829.461,
Norway,5,7.4879999999999995,1.4240000000000002,1.495,1.008,0.67,0.28800000000000003,0.434,5421241.0,,,7719847.184000001,
Netherlands,6,7.449,1.339,1.464,0.976,0.614,0.336,0.369,17134872.0,41.8,82.1,22943593.608,21.9
Sweden,7,7.353,1.3219999999999998,1.433,0.986,0.65,0.273,0.442,10099265.0,41.0,83.0,13351228.329999998,22.9
New Zealand,8,7.3,1.242,1.4869999999999999,1.008,0.647,0.326,0.461,4822233.0,,,5989213.386,
Austria,9,7.294,1.317,1.4369999999999998,1.001,0.603,0.256,0.281,9006398.0,42.7,81.9,11861426.166,19.4
Luxembourg,10,7.2379999999999995,1.537,1.3880000000000001,0.986,0.61,0.196,0.36700000000000005,625978.0,,,962128.186,
Canada,11,7.232,1.3019999999999998,1.435,1.023,0.644,0.282,0.35200000000000004,37742154.0,40.1,82.1,49140284.507999994,21.2
Australia,12,7.223,1.31,1.4769999999999999,1.023,0.622,0.325,0.336,25499884.0,37.2,83.0,33404848.040000003,25.2
United Kingdom,13,7.165,1.273,1.4580000000000002,0.976,0.525,0.373,0.32299999999999995,67886011.0,40.2,81.3,86418892.00299999,23.2
Israel,14,7.129,1.216,1.403,1.008,0.42100000000000004,0.267,0.1,8655535.0,,,10525130.56,
Costa Rica,15,7.121,0.981,1.375,0.94,0.645,0.131,0.096,5094118.0,29.7,80.3,4997329.757999999,28.4
Ireland,16,7.093999999999999,1.4469999999999998,1.4709999999999999,0.976,0.588,0.295,0.373,4937786.0,35.3,82.4,7144976.341999999,27.4
Germany,17,7.0760000000000005,1.314,1.369,0.972,0.564,0.252,0.309,83783942.0,45.5,81.0,110092099.788,18.8
United States,18,6.94,1.374,1.405,0.8320000000000001,0.535,0.298,0.152,331002651.0,37.4,78.9,454797642.47400004,25.0
Czech Republic,19,6.9110000000000005,1.212,1.405,0.895,0.506,0.046,0.05,,,,,
Belgium,20,6.864,1.296,1.399,0.965,0.5,0.147,0.209,11589623.0,41.6,81.8,15020151.408,22.6
United Arab Emirates,21,6.791,1.431,1.251,0.7879999999999999,0.653,0.281,0.22,9890402.0,30.0,77.9,14153165.262,18.8
